遊戲期數,遊戲主題,屆別,獎金結構項數,售價,最高獎金,發行日,發行日(民國),下市日,下市日(民國),兌獎截止日,兌獎截止日(民國),發行張數,銷售率,頭獎張數,頭獎未兌領張數,scratchId,newsId,圖片網址,獎金結構網址
5040,喜八啦,本屆(2024/1/1起),12,200,2000000,2024-07-16,113/07/16,2025-01-16,114/01/16,2025-04-16,114/04/16,6044500,29.13%,4,2,33fa9607ac864de1b14360ccdc4fd3b4,969ace5d0e624905968b8e86f75576ad,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240710_162808075_1.jpg,https://www.taiwanlottery.com/news/news/969ace5d0e624905968b8e86f75576ad
5039,麻將賓果,本屆(2024/1/1起),8,200,2000000,2024-07-16,113/07/16,2025-01-16,114/01/16,2025-04-16,114/04/16,6042000,99.95%,5,0,f1063b9e39fd4eeb98c74b8a16b33460,969ace5d0e624905968b8e86f75576ad,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240710_161652988_1.jpg,https://www.taiwanlottery.com/news/news/969ace5d0e624905968b8e86f75576ad
5038,雙寵好運,本屆(2024/1/1起),11,200,2000000,2024-07-02,113/07/02,2025-01-02,114/01/02,2025-04-02,114/04/02,6042000,28.63%,6,6,de85cbf2a53d4e51b7a1881bdc6c0a5e,67215a7c6da649778d1b60ea8632acbd,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240626_171734192_1.jpg,https://www.taiwanlottery.com/news/news/67215a7c6da649778d1b60ea8632acbd
5037,尋寶派對,本屆(2024/1/1起),10,200,2000000,2024-07-02,113/07/02,2025-01-02,114/01/02,2025-04-02,114/04/02,6016700,32.37%,5,4,ecbd795cde9e42e1b78167d8fd680856,67215a7c6da649778d1b60ea8632acbd,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240626_170850685_1.jpg,https://www.taiwanlottery.com/news/news/67215a7c6da649778d1b60ea8632acbd
5036,刮刮金樂透,本屆(2024/1/1起),8,200,2000000,2024-06-18,113/06/18,2024-12-18,113/12/18,2025-03-18,114/03/18,6120000,99.97%,7,0,e68ccfc2c861403aac2325eeb0f731a9,f5f6ad0f66b5483f878a334191119d43,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240612_104333681_1.jpg,https://www.taiwanlottery.com/news/news/f5f6ad0f66b5483f878a334191119d43
5035,幸運10倍,本屆(2024/1/1起),10,100,300000,2024-06-04,113/06/04,2024-12-04,113/12/04,2025-03-04,114/03/04,6120000,67.02%,3,0,7bfab5d99ba54d7ab44e0f36cb96f998,1fb60510c131421bafade35d9459b627,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240529_112252793_1.jpg,https://www.taiwanlottery.com/news/news/1fb60510c131421bafade35d9459b627
5034,超級20倍,本屆(2024/1/1起),11,200,2000000,2024-06-04,113/06/04,2024-12-04,113/12/04,2025-03-04,114/03/04,6120000,57.6%,3,2,8d007576b3f64a3bb932c25517378f2c,1fb60510c131421bafade35d9459b627,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240529_104419811_1.jpg,https://www.taiwanlottery.com/news/news/1fb60510c131421bafade35d9459b627
5033,無敵30倍,本屆(2024/1/1起),13,300,3000000,2024-06-04,113/06/04,2024-12-04,113/12/04,2025-03-04,114/03/04,6120000,99.93%,3,0,8f2974e697ef480489e54c3572aaa4d3,1fb60510c131421bafade35d9459b627,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240529_103347253_1.jpg,https://www.taiwanlottery.com/news/news/1fb60510c131421bafade35d9459b627
5032,金喜連連,本屆(2024/1/1起),12,100,500000,2024-05-21,113/05/21,2024-11-21,113/11/21,2025-02-21,114/02/21,6120000,47.41%,6,3,bb1c16f7bc584e0aa0de3f119d10f212,2d83df1f86ba4a5caf473af88e2743b1,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240513_132334155_1.jpg,https://www.taiwanlottery.com/news/news/2d83df1f86ba4a5caf473af88e2743b1
5031,"樂刮$2,000",本屆(2024/1/1起),7,200,1000000,2024-05-21,113/05/21,2024-11-21,113/11/21,2025-02-21,114/02/21,6042700,66.61%,5,2,677fcf90607d401b8bfe190e3c7ad795,2d83df1f86ba4a5caf473af88e2743b1,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240513_115922276_1.jpg,https://www.taiwanlottery.com/news/news/2d83df1f86ba4a5caf473af88e2743b1
5030,歡喜慶端午,本屆(2024/1/1起),11,200,2000000,2024-05-07,113/05/07,2024-11-07,113/11/07,2025-02-07,114/02/07,6079700,39.93%,5,4,547a0271849f4c1aad7ac74399fe6b3e,af2018627b72428f9984b1aaddccbfab,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20240430_100454664_1.jpg,https://www.taiwanlottery.com/news/news/af2018627b72428f9984b1aaddccbfab
