,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,0,75,0,25,0,75,300,25,0,75,0,25,0,75,0,25,300,75,500,25,500,75,300,25,0,75,0,25,300,75,0,25,0,75,0,25,300,75,500,25,0,75,0,25,0,75,0,25,0,75,0
,26,300,76,0,26,0,76,0,26,300,76,300,26,0,76,0,26,300,76,0,26,500,76,300,26,"2,100",76,300,26,0,76,500,26,0,76,"3,500",26,0,76,0,26,0,76,0,26,0,76,0,26,0,76,0
,27,300,77,300,27,0,77,300,27,0,77,500,27,"1,000",77,0,27,0,77,0,27,0,77,0,27,0,77,0,27,0,77,"1,000",27,"2,100",77,0,27,0,77,500,27,0,77,300,27,0,77,0,27,0,77,0
,28,0,78,300,28,500,78,0,28,0,78,500,28,0,78,0,28,0,78,0,28,300,78,0,28,0,78,0,28,0,78,700,28,0,78,0,28,0,78,0,28,500,78,0,28,0,78,0,28,0,78,0
,29,0,79,0,29,0,79,0,29,0,79,0,29,"2,100",79,0,29,0,79,"2,100",29,0,79,0,29,300,79,0,29,0,79,300,29,0,79,0,29,0,79,0,29,0,79,0,29,0,79,0,29,0,79,0
,30,0,80,0,30,0,80,0,30,500,80,0,30,0,80,500,30,0,80,0,30,700,80,300,30,500,80,300,30,0,80,300,30,500,80,0,30,300,80,0,30,0,80,300,30,0,80,0,30,0,80,0
,31,0,81,0,31,0,81,0,31,300,81,0,31,0,81,500,31,0,81,0,31,0,81,300,31,0,81,0,31,0,81,0,31,0,81,0,31,0,81,300,31,0,81,0,31,0,81,0,31,0,81,0
,32,300,82,500,32,0,82,300,32,300,82,500,32,300,82,0,32,0,82,0,32,0,82,500,32,0,82,0,32,300,82,300,32,0,82,300,32,300,82,0,32,0,82,0,32,0,82,0,32,0,82,0
,33,0,83,300,33,0,83,0,33,0,83,0,33,0,83,0,33,0,83,300,33,300,83,0,33,500,83,300,33,0,83,0,33,0,83,300,33,0,83,0,33,0,83,300,33,0,83,0,33,0,83,0
,34,0,84,0,34,300,84,0,34,0,84,"2,100",34,0,84,500,34,300,84,300,34,0,84,0,34,0,84,300,34,0,84,300,34,0,84,0,34,0,84,300,34,0,84,0,34,0,84,0,34,0,84,0
,35,500,85,300,35,0,85,300,35,0,85,500,35,300,85,0,35,0,85,500,35,0,85,0,35,0,85,0,35,0,85,0,35,0,85,0,35,300,85,0,35,300,85,0,35,0,85,0,35,0,85,0
,36,0,86,0,36,0,86,300,36,0,86,0,36,0,86,300,36,0,86,300,36,0,86,"2,100",36,300,86,700,36,0,86,0,36,0,86,0,36,300,86,0,36,300,86,0,36,0,86,0,36,0,86,0
,37,0,87,0,37,0,87,0,37,300,87,0,37,0,87,300,37,0,87,0,37,0,87,0,37,0,87,300,37,300,87,0,37,0,87,0,37,300,87,500,37,0,87,0,37,0,87,0,37,0,87,0
,38,500,88,300,38,0,88,300,38,0,88,0,38,0,88,0,38,0,88,0,38,300,88,300,38,300,88,"1,000",38,0,88,300,38,300,88,0,38,300,88,"2,100",38,0,88,500,38,0,88,0,38,0,88,0
,39,0,89,0,39,300,89,300,39,0,89,300,39,0,89,0,39,300,89,500,39,0,89,0,39,500,89,0,39,500,89,0,39,300,89,500,39,300,89,0,39,0,89,300,39,0,89,0,39,0,89,0
